time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,2540,0,340,1.202,2180,0.092,0.157,0.105,380,0.002,53.395
33,0,2540,0,340,1.202,2180,0.092,0.157,0.105,380,0.002,53.395
35,0,2540,0,340,1.202,2180,0.092,0.157,0.105,380,0.002,53.395
36,0,2540,0,340,1.202,2180,0.092,0.157,0.105,380,0.002,53.395
37,0,2540,0,340,1.202,2180,0.092,0.157,0.105,380,0.002,53.395
39,0,2540,0,340,1.202,2180,0.092,0.157,0.105,380,0.002,53.395
40,0,2540,0,340,1.202,2180,0.092,0.157,0.105,380,0.002,53.395
41,0,5860,0,800,0.784,5000,0.069,0.135,0.077,780,0.002,24.267
43,0,5860,0,800,0.784,5000,0.069,0.135,0.077,780,0.002,24.267
44,0,5860,0,800,0.784,5000,0.069,0.135,0.077,780,0.002,24.267
45,0,5860,0,800,0.784,5000,0.069,0.135,0.077,780,0.002,24.267
47,0,5860,0,800,0.784,5000,0.069,0.135,0.077,780,0.002,24.267
48,0,5860,0,800,0.784,5000,0.069,0.135,0.077,780,0.002,24.267
49,0,5860,0,800,0.784,5000,0.069,0.135,0.077,780,0.002,24.267
51,0,5860,0,800,0.784,5000,0.069,0.135,0.077,780,0.002,24.267
52,0,9500,0,1300,0.568,8280,0.053,0.126,0.049,1220,0.001,18.361
53,0,9500,0,1300,0.568,8280,0.053,0.126,0.049,1220,0.001,18.361
55,0,9500,0,1300,0.568,8280,0.053,0.126,0.049,1220,0.001,18.361
56,0,9500,0,1300,0.568,8280,0.053,0.126,0.049,1220,0.001,18.361
57,0,9500,0,1300,0.568,8280,0.053,0.126,0.049,1220,0.001,18.361
59,0,9500,0,1300,0.568,8280,0.053,0.126,0.049,1220,0.001,18.361
60,0,9500,0,1300,0.568,8280,0.053,0.126,0.049,1220,0.001,18.361
61,0,13600,0,1860,0.467,11740,0.041,0.128,0.033,1820,0.001,14.287
63,0,13600,0,1860,0.467,11740,0.041,0.128,0.033,1820,0.001,14.287
64,0,13600,0,1860,0.467,11740,0.041,0.128,0.033,1820,0.001,14.287
65,0,13600,0,1860,0.467,11740,0.041,0.128,0.033,1820,0.001,14.287
67,0,13600,0,1860,0.467,11740,0.041,0.128,0.033,1820,0.001,14.287
68,0,13600,0,1860,0.467,11740,0.041,0.128,0.033,1820,0.001,14.287
69,0,13600,0,1860,0.467,11740,0.041,0.128,0.033,1820,0.001,14.287
71,0,13600,0,1860,0.467,11740,0.041,0.128,0.033,1820,0.001,14.287
72,0,16860,0,2280,0.418,14560,0.037,0.122,0.052,2300,0.001,11.916
74,0,16860,0,2280,0.418,14560,0.037,0.122,0.052,2300,0.001,11.916
75,0,16860,0,2280,0.418,14560,0.037,0.122,0.052,2300,0.001,11.916
76,0,16860,0,2280,0.418,14560,0.037,0.122,0.052,2300,0.001,11.916
77,0,16860,0,2280,0.418,14560,0.037,0.122,0.052,2300,0.001,11.916
79,0,16860,0,2280,0.418,14560,0.037,0.122,0.052,2300,0.001,11.916
80,0,16860,0,2280,0.418,14560,0.037,0.122,0.052,2300,0.001,11.916
82,0,20600,0,2760,0.387,17880,0.035,0.12,0.043,2780,0.001,10.804
83,0,20600,0,2760,0.387,17880,0.035,0.12,0.043,2780,0.001,10.804
85,0,20600,0,2760,0.387,17880,0.035,0.12,0.043,2780,0.001,10.804
86,0,20600,0,2760,0.387,17880,0.035,0.12,0.043,2780,0.001,10.804
87,0,20600,0,2760,0.387,17880,0.035,0.12,0.043,2780,0.001,10.804
89,0,20600,0,2760,0.387,17880,0.035,0.12,0.043,2780,0.001,10.804
90,0,20600,0,2760,0.387,17880,0.035,0.12,0.043,2780,0.001,10.804
91,0,20600,0,2760,0.387,17880,0.035,0.12,0.043,2780,0.001,10.804
93,0,24640,0,3340,0.356,21300,0.031,0.12,0.036,3340,0.001,9.653
94,0,24640,0,3340,0.356,21300,0.031,0.12,0.036,3340,0.001,9.653
95,0,24640,0,3340,0.356,21300,0.031,0.12,0.036,3340,0.001,9.653
97,0,24640,0,3340,0.356,21300,0.031,0.12,0.036,3340,0.001,9.653
98,0,24640,0,3340,0.356,21300,0.031,0.12,0.036,3340,0.001,9.653
99,0,24640,0,3340,0.356,21300,0.031,0.12,0.036,3340,0.001,9.653
101,0,24640,0,3340,0.356,21300,0.031,0.12,0.036,3340,0.001,9.653
